Run	Cluster_0	Cluster_1	Cluster_2	Cluster_3	Cluster_4	Cluster_5	Cluster_6	Cluster_7	Cluster_8	Cluster_9
1	2.2981120440961678	2.2975622692288944	2.299991662668173	2.2964885574344587	2.299371669868871	2.2975701978386955	2.2979683791673846	2.2953944199746172	2.291446831644913	2.2961968453227586
10	2.2928227655295963	2.297556375784683	2.2949889489689133	2.2956857796392565	2.293513075964298	2.2945555423584736	2.296624973231492	2.297113202947247	2.2908202444910746	2.2902667002373294
11	2.299743698512873	2.2982534008251476	2.2959439818167118	2.2971834913971847	2.2967999934678023	2.298896591563236	2.295082673513987	2.2976052505483353	2.297570336396331	2.2942882952619663
12	2.2961175182310036	2.2966040629145557	2.2959324982182703	2.2960035274063246	2.2877981302982775	2.2974066538023883	2.2955940316799124	2.299679776937748	2.2971736740208986	2.294830096911806
13	2.2985328342155644	2.2980468339986384	2.298947473603828	2.2968851841662348	2.298595298574469	2.2985488291104446	2.295165266712358	2.2972792228520906	2.297540087401755	2.299154063537104
14	2.2906150505080802	2.295302238341252	2.296612791413807	2.297453258246753	2.291382455901724	2.292537466952319	2.2990517323383086	2.2957742401406867	2.2981625929798932	2.298238256355819
15	2.292919539607494	2.293989288745039	2.297505541407446	2.296913645186374	2.2983341577288705	2.294584662437505	2.294789522329667	2.2948293033917726	2.2940072991336855	2.2953417891141155
16	2.2946356624351423	2.295320247367323	2.290811791823679	2.2949053584844505	2.293762590683117	2.2977752598968246	2.290276265826098	2.2942842404487216	2.296808482792041	2.295966165440127
17	2.2943822302730656	2.295219438419871	2.297177035912312	2.2965083710735406	2.29306422773347	2.291780060405528	2.290565427070468	2.293398299765367	2.297198501300044	2.292528676016363
18	2.2922565374062907	2.2982080309604482	2.29404127110809	2.297072852814014	2.295750700372062	2.2982108582350396	2.2964255588607934	2.2962116951178233	2.2952351434414644	2.297725421015278
19	2.2931292325089347	2.2942425344775494	2.296727541151393	2.2960268747224086	2.2968202120099575	2.290661288034178	2.291533959565376	2.2947954869390155	2.2966410206180314	2.293513828258626
2	2.29557572546734	2.293613284915706	2.2971585245894515	2.29434715315041	2.2942411814960315	2.292852055868517	2.2937849792417038	2.2944252874776465	2.295981861348716	2.2961865462679727
20	2.3001414276224974	2.2957030510235534	2.295679827974252	2.2988695694034265	2.297821059286423	2.297283884257413	2.2981467030569602	2.292898064830897	2.2931038642503054	2.2955191052016533
3	2.296330845947845	2.2889639236601838	2.296074570952279	2.295089482118847	2.296942674728743	2.2980095422946016	2.2913997134883908	2.2975079233142965	2.299088989543955	2.2970363904834046
4	2.2975076662591465	2.2926638662495415	2.2914522771330086	2.294231694301104	2.294993468380305	2.291806205802102	2.2960445565533685	2.2966029165450985	2.2982706268257678	2.295018329334621
5	2.2903644107003487	2.285276666696362	2.2946966578208756	2.2938505708799215	2.293379831782117	2.294837478736083	2.293389358509515	2.2955355575672955	2.2961214577109397	2.2927909357589966
6	2.29447311069105	2.2953841569393933	2.294209347228196	2.297768619854804	2.292912757652639	2.2949608775930486	2.2939414574420383	2.2929493539884023	2.2964138967716723	2.2952659416510426
7	2.299655011430973	2.299533504539583	2.298509810755987	2.2963142431212695	2.297815748512291	2.2991410249645194	2.2988573060744053	2.294756216691645	2.299943476978346	2.2927031469525607
8	2.2856138603639704	2.2967988071965317	2.2963290795345075	2.2940663911029744	2.2931338516910618	2.295836697614643	2.2966480822499276	2.2955399455935543	2.290867705305577	2.292191782688432
9	2.2987694702795998	2.297029189630947	2.297737424784028	2.297583381536411	2.2991518921409586	2.299106005855026	2.297594269719463	2.297298019352051	2.2937716351920416	2.298389729273736
